Record Number,Series #,Reason for this Series,Runs of Interest,Run Type,Other Run Type,Log Book #,Log Book Page #,Start Date/Time,End Date/Time,Entered By,SB ID,Mirror Voltage,Beam,Detector Voltage,Dire Warning,Comments,Disk,Config
1017,72,first production with new proton detector,all,Production,,3,25,2008-12-08 18:44:00-05,2008-12-10 00:00:00-05,HB,42-117C,1400,On,-25000,,"first production data with new proton detector. 
interrupted from 14:40 to 16:03 for cryogen filling; 
resumed series after that without change. 
Still running as of 12/09/08 18:15",Data0004,0x45554554
1018,73,lower mirror voltage,all,Test,,3,26,2008-12-10 11:45:00-05,,JSN,42-117C,0,On,-25000,,Why didn't the trigger rate drop more when I dropped the mirror voltage to 0.,Data0004,0x45554554
1019,74,Testing mirror = 0V; lower mirror voltage,all,Test,,3,27,2008-12-10 15:30:00-05,,JSN,42-117C,0,On,-25000,This run accidentally had the proton spec amp integration time at 1 ??s.,"The mirror has been behaving erratically. This run may 
or may not be at zero mirror voltage.",Data0004,0x45554554
1039,75,maybe production,,Production,,3,28,2008-12-11 13:59:00-05,,JSN,42-117C,0,On,-25000,,proton shaping time back to 250 ns,Data0004,0x45554554
1021,76,Possible data run but mirror may be disconnected,,Production,,3,29,2008-12-11 18:00:00-05,,JSN,42-117C,1400,On,-25000,Mirror may be disconnected; No photon channel 00,,Data0004,0x45554554
1032,77,Possible data run but mirror may be disconnected,,Production,,3,31,2008-12-13 13:43:00-05,,JSN,42-117C,1400,On,-25000,Mirror may be disconnected; No photon channel 00,,Data0004,0x45554554
1022,78,Possible data run,,Production,,3,32,2009-12-15 13:37:00-05,,JSN,42-117C,1400,On,-25000,mirror may be disconnected; no photon channel 00,"This is the first run with the design collimation (C1 = 1.00""). 
The West 1/v amp was swapped out due to drifting.",Data0005,0x45554554
1033,79,Possible data run,,Production,,3,37,2009-12-18 18:51:00-05,,JSN,42-117C,1400,On,-25000,mirror may be disconnected; no photon channel 00,,Data0005,0x45554554
1034,80,temperature monitor,,Monitor,,3,39,2008-12-20 13:14:00-05,,JSN,42-117C,0,Off,0,,,Data0005,0x45554554
1035,81,Monitor during shutdown,,Monitor,,3,,,,JSN,42-117C,0,Off,0,,,Data0005,
1023,82,monitor during shutdown,,Monitor,,3,,,,JSN,42-117C,0,Off,0,,,Data0005,
1037,83,,,Test,,3,49,2009-01-06 11:00:00-05,,,42-117C,0,On,-25000,,getting apparatus ready to run after shutdown,Data0005,
1038,84,calibration and testing,,Calibration,,3,53,2009-01-06 19:51:00-05,,JSN,42-117C,1000,On,-25000,,,Data0005,0x45544555
1024,85,cool down,,Other,cool down,3,54,2009-01-06 21:30:00-05,,JSN,42-117C,1400,On,-25000,photon detectors still cooling,,Data0005,0x45544555
1030,87,data run,,Production,,3,57,2009-01-07 21:28:00-05,,JSN,42-117C,1400,On,-25000,Channel 7 (<=> Board10) may have slower risetime,,Data0005,0x45544555
1029,88,scan of mirror voltages,,Test,,3,58,2008-01-08 14:29:00-05,,JSN,42-117C,0,On,-25000,Channel 7 (<=> Board10) may have slower risetime,These runs are at different mirror voltages.,Data0005,0x45544555
1028,89,1400 mirror,,Production,,3,58,2009-01-09 00:02:00-05,,JSN,42-117C,1400,On,-25000,Channel 7 (<=> Board10) may have slower risetime,,Data0005,0x45544555
1027,90,zero volt mirror,,Production,,3,61,2009-01-09 17:30:00-05,,JSN,42-117C,0,On,-25000,Channel 7 (<=> Board10) may have slower risetime,,Data0006,0x45544555
1031,91,back up to full mirror,,Production,,3,61,2009-01-12 10:01:00-05,2009-01-13 14:25:00-05,JSN,42-117C,1400,On,-25000,Channel 7 (<=> Board10) may have slower risetime,,Data0006,0x45544555
1041,92,small APD HV changes,,Production,,3,62,2009-01-13 16:39:00-05,2009-01-15 13:35:00-05,HB,42-117C,1400,On,-25000,,Channel 7 (<=> Board10) may have slower risetime (always...),Data0006,0x45544555
1042,93,"again small APD HV changes, Threshold changes",,Production,HV-off calib. r40-47,3,64,2009-01-15 15:37:00-05,2009-01-18 15:10:00-05,HB,42-117C,1400,On,-25000,BertranHV tripped last 10 hours; run27-32: disk problem,"APDs 8, 11, 12 small HV changes; 
thresholds for calibration runs increased for 
detectors 1,2,4,5,6,10; 
runs 27 to 32 do not exist,since disk drives went off-line; 
runs 39(most of run 39)to 47: Bertran HV had tripped: use as calibration data. 
Detector 7 may have regular rise time in later part of Series.",Data0006,0x45544555
1043,94,Threshold changes (on-line analysis);,,Production,,3,65,2009-01-18 16:17:00-05,,HB,42-117C,1400,On,-25000,,"changed online analysis threshold and mode. 
Detector 7 had normal rise time at beginning of series.",Data0006,0x45554555
1044,95,,,Production,,3,69,2009-01-22 17:25:00-05,,JSN,42-117C,1400,On,-25000,,Swapped data disks,Data0007,0x45554555
1045,96,,,Production,,3,71,2009-01-24 09:30:00-05,,JSN,42-117C,0,On,-25000,,"Note that there is an problem with the e-p rate versus 
mirror voltage scan. It is not understood.",Data0007,0x45554555
1046,97,systematic run with SBD HV off,,Test,Systematic,3,71,2009-01-26 07:25:00-05,,JSN,42-117C,1400,On,0,The photon detector voltages were briefly put to 0 between Runs 8 and 9,"Note that there is an problem with the e-p rate versus 
mirror voltage scan. It is not understood.",Data0007,0x45554555
1047,98,Magnet off systematic run,,Test,Systematic,3,72,2009-01-27 10:22:00-05,,JSN,42-117C,1400,On,-25000,B field is off; HV tripped during run; photon detector gain may still be settling,,Data0007,
1048,99,Continuation of B=0 systematic run,,Test,Systematic,3,,2009-01-28 18:50:00-05,2009-01-29 08:28:00-05,JSN,42-117C,1400,On,-25000,,"Rx when down toward end of running. This is the end of the third cycle. 
Beam apparently went off at ~6:00 am during run 18 (a calibration run)",Data0007,
1049,100,Systematic test with Rx off; everything else as usual,,Test,Systematic,3,74,2009-01-29 09:15:00-05,2009-02-02 12:14:00-05,JSN,42-117C,1400,Off,-25000,Rx off,,Data0007,0x45554555
1050,101,SB detector source/pulser calibrations,,Calibration,Systematic,3,78,2009-02-02 14:53:00-05,2009-02-02 17:25:00-05,HB,42-117C,1400,Off,-25000,,"run 0: pulser low setting, long rise time 
run 1: pulser high (x5) setting, long rise time 
fast rise time (50 ns) after this... 
run 2: pulser low (x1) 
run 3: pulser high (x5) 
after this all runs with Am source (sometimes + pulser) 
run 4: source only (369 sec), right after moving det. 
run 5: pulser low (125 sec) 
run 6: pulser high (~120 sec) 
run 7: source only, no pulser (369 sec) 
run 8: source+pulser(high) (3605 sec) 
run 9: source+pulser(high) (474 sec) 
run 10: same, higher discr. thresholds (133 sec) 
run 11: same, again increased d. thr. (211 sec) 
run 12: same, again increased d. thr. (130 sec) 
run 13: same, card 2 threshold 100% (10 mins) 
run 14: same again; short",Data0007,
1051,102,,,Monitor,,3,84,2009-02-09 14:00:00-05,,JSN,47-113B,0,Off,0,,,Data0007,
1052,103,mirror testing,,Test,,3,89,2009-02-12 15:00:00-05,,JSN,47-113B,0,On,-25000,,,Data0007,
1053,104,First run of Cycle 4,,Production,,3,90,2009-02-12 19:11:00-05,,JSN,47-113B,1400,On,-25000,APDs may still be stabilizing,New SBD and new gains adjustments for it,Data0007,0x45554555
1054,105,,,Production,,3,91,2009-02-13 10:00:00-05,,JSN,47-113B,1400,On,-25000,APDs may still be stabilizing,,Data0007,0x45554555
1055,106,,,Production,,3,93,2009-02-13 19:00:00-05,,JSN,47-113B,1400,On,-25000,,"Added TAC sigmal to channel 06 (i.e., first board, formerly empty channel 7 of 8)",Data0007,0x45554555
1070,107,get TAC time spectra for low mirror HVs,0-4,Calibration,,3,95,2009-02-15 17:40:00-05,2009-02-15 21:45:00-05,hb,47-113B,0,On,-25000,varying mirror HVs!,"run 0: 0V mirror 
run 1: 30V mirror 
run 2: 120V mirror 
run 3: 60V mirror 
run 4: 90V mirror",Data0007,0x45554555
1058,108,,,Production,,3,95,2009-02-15 21:40:00-05,,HB,47-113B,1400,On,-25000,HV tripped,"Changed ""segmentcount"" from 20 to 100; this undoes change 
I made on page 74; 01/28/09; might affect dead time a bit.",Data0007,0x45554555
1059,109,new mirror HV=300,,Production,,3,95,2009-02-16 09:15:00-05,2009-02-17 15:15:00-05,HB,47-113B,300,On,-25000,APD 12 noisy,"stopped to change calibration threshold for APD 12, which 
is noisy since beginning of series 109",Data0007,0x45554555
1060,110,,,Production,,3,96,2009-02-17 15:57:00-05,2009-02-17 20:55:00-05,HB,47-113B,300,On,-25000,APD 12 probably still noisy,"APD 12 with higher calibration threshold, due to 
increased noise (file size) 
Stop series to change data disk.",Data0007,0x45554555
1061,111,new disk drive,,Production,,3,97,2009-02-17 20:58:00-05,2009-01-19 16:06:00-05,HB,47-113B,300,On,-25000,APD 12 probably still noisy for part of series.,"No change from series 110 except for output disk. 
APD 12 was quiet when checking after Series ended.",Data0008,0x45554555
1062,112,,0-2,Other,only calibration runs good,3,98,2009-02-19 16:51:00-05,2009-02-19 17:30:00-05,HB,47-113B,300,On,-25000,no coincidences!,"Revert to old, low calibration threshold for det 12, 
since noise has disappeared. 
No coincidence triggers; found cable not properly 
plugged in, probably since a long time.",Data0008,0x45554555
1063,113,,,Production,,3,98,2009-02-19 16:42:00-05,,HB,47-113B,300,On,-25000,,,Data0008,0x45554555
1064,114,,,Production,,3,99,2009-02-21 11:05:00-05,,JSN,47-113B,0,On,-25000,,,Data0008,0x45554555
1065,115,,,Production,,3,99,2009-02-23 12:00:00-05,2009-02-25 14:17:00-05,JSN,47-113B,0,On,-25000,,,Data0008,0x45554555
1066,116,time calibration (tof),,Calibration,,3,200,2009-02-25 15:10:00-05,2009-02-25 15:25:00-05,HB,47-113B,0,,-25000,no real data!,"Time calibration for first card, channel 7 (containing TAC) 
using the Ortec 462 time calibrator. 
Run 0: TAC = 20 us; pulser 20.48 us range, 1.28 us period 
Run 1: TAC = 20 us; pulser 40.96 us range, 0.64 us period 
Run 2: TAC = 5 us; pulser 40.96 us range, 0.64 us period 
Run 3: TAC = 40 us; pulser 40.96 us range, 0.64 us period",Data0008,0x45554555
1071,117,get TAC time spectra for low mirror HVs,0-1,Calibration,,3,101,2009-02-25 15:31:00-05,2009-02-15 17:30:00-05,HB,47-113B,0,On,-25000,varying mirror HVs!,"continuation of series 107 
run 0: 150V mirror 
run 1: 180V mirror ",Data0008,0x45554555
1072,118,,,Production,,3,102,2009-02-25 17:34:00-05,,HB,47-113B,0,On,-25000,,continue production from series 115 without change ,Data0008,0x45554555
1073,119,,,Production,,3,102,2009-02-27 15:50:00-05,,JSN,47-113B,1400,On,-25000,HV trip during run,,Data0008,0x45554555
1074,120,,,Production,,3,103,2009-03-01 14:25:00-05,,JSN,47-113B,1400,On,-25000,,,Data0008,0x45554555
1076,121,,,Production,,3,105,2009-03-04 13:39:00-05,,JSN,47-113B,300,On,-25000,,,Data0008,0x45554555
1077,122,,,Production,,3,105,2009-03-05 10:54:00-05,2009-03-06 17:30:00-05,JSN,47-113B,300,On,-25000,,,Data0009,0x45554555
1078,123,,,Production,,3,106,2009-03-06 18:39:00-05,,HB,47-113B,300,On,-25000,,"Card 2, channel 6,8 threshold changed in 
calibration .ini file.",Data0009,0x45554555
1080,124,test 2 new mirror voltages,,Calibration,,3,106,2009-03-09 15:27:00-04,2009-03-09 18:06:00-04,HB,47-113B,0,On,-25000,,"a good hour of coincidence data each for: 
run 0: 500V mirror 
run 1: 700V mirror 
for comparison of TOF results with MC",Data0009,0x45554555
1079,125,change of mirror HV to 150 V,,Production,,3,107,2009-03-09 19:08:00-04,,HB,47-113B,150,On,-25000,,,Data0009,0x45554555
1081,126,,,Production,,3,107,2009-03-10 15:38:00-04,,JSN,47-113B,1400,On,-25000,,,Data0009,0x45554555
1082,127,,,Production,,3,108,2009-03-13 10:00:00-04,,JSN,47-113B,1400,On,-25000,,,Data0009,0x45554555
1083,128,B=0 run,,Test,Systematic,3,109,2009-03-15 10:38:00-04,,JSN,47-113B,1400,On,-25000,magnet is OFF,,Data0009,
1084,129,Am-241 calibration,,Calibration,,3,110,2009-03-16 13:58:00-04,,JSN,47-113B,0,Off,0,,magnet is OFF,Data0009,
1085,130,Rx off; monitor,,Monitor,,3,111,2009-03-16 15:08:00-04,,JSN,47-113B,0,Off,0,,,Data0009,
1086,132,Rx off; monitor,,Monitor,,3,117,2009-03-30 10:30:00-04,,JSN,47-113B,0,Off,0,,,Data0009,
1087,133,Rx off; calibration,,Calibration,,3,120,2009-04-01 18:25:00-04,,JSN,47-113B,0,Off,0,,,Data0009,
1088,134,Rx off; calibration,,Calibration,,3,121,2009-04-02 14:43:00-04,,JSN,47-113B,0,Off,0,,,Data0009,
1089,135,Rx off; calibration; source under magnet near bare APDs,,Calibration,,3,122,2009-04-03 14:00:00-04,,JSN,47-113B,0,Off,0,,,Data0010,
1091,136,Rx off; monitor,,Monitor,,3,124,2009-04-04 19:33:00-04,,JSN,47-113B,0,Off,0,,,Data0010,
1092,137,Rx off; LHe cooling down,,Test,,3,126,2009-04-05 17:00:00-04,,JSN,47-113B,0,Off,0,,,Data0010,
1093,140,Rx off;,,Test,,3,128,2009-04-08 13:30:00-04,,JSN,47-113B,0,Off,0,,,Data0010,
1094,141,Rx off; SBD calibration with Am-241 and Co-57,,Calibration,,3,128,2009-04-08 14:00:00-04,,JSN,47-113B,0,Off,0,,,Data0010,
1095,142,Rx off;,,Test,,3,130,2009-04-08 20:48:00-04,,JSN,47-113B,0,Off,0,,,Data0010,
1096,143,Rx on,,Test,,3,134,2009-04-09 14:13:00-04,,JSN,47-113B,90,On,-25000,,,Data0010,
1097,144,Rx on,,Test,,3,134,2009-04-09 14:15:30-04,,JSN,47-113B,60,On,-25000,,,Data0010,
1098,145,Rx on,,Test,,3,134,2009-04-09 16:53:00-04,,JSN,47-113B,0,On,-25000,,,Data0010,
1099,146,Rx on,,Test,,3,134,2009-04-09 18:31:00-04,,JSN,47-113B,1400,On,-25000,,,Data0010,
1100,147,,,Test,"Test of ""chared Pb-aperture idea",3,136,2009-04-09 19:55:00-04,,JSN,47-113B,30,On,-25000,Pb-aperture at 51.4 V,"With Pb-aperture at 51.4 V scan mirror HV: 
run 1 (30V mirror); run 2(60V); run 3(90V) 
run 4 (120V); run 5(500V); run 6(1400V); run 7 (0V)",Data0010,
1106,148,,,Production,,3,137,2009-04-09 21:33:00-04,2009-04-10 16:20:00-04,JSN,47-113B,1400,On,-25000,no detectors 6 and 12 (replaced by bare APDs 3 and 4),"BAPD1 in board 1 channel 7 
BAPD2 in board 2 channel 7 
BAPD3 in board 1 channel 6 
BAPD4 in board 2 channel 6 
Note: calibration runs BAPDs 2000 mV full range 
coincidence runs BAPDs 1000 mV full scale 
for this and following series at least to S154",Data0010,0x69556955
1101,149,Ramping mirror voltages,01/25/12,Other,Mirror ramp,3,138,2009-04-10 16:28:00-04,,JSN,47-113B,0,On,-25000,mirror ramp,"Run1-5: 1200,1000,700,500,300V 
Run6-10: 200,0,20,40,80V 
Run11-15: 60,50,30,10,120V 
Run16-20: 70,100,150,130,110V 
Run21-25: 55,45,170,120,35V",Data0010,0x45554555
1102,150,Ramping voltage applied to Pb-aperture,,Other,Pb-aperture ramp,3,139,2009-04-10 20:19:00-04,,JSN,47-113B,0,On,-25000,Pb-aperture ramp,"runs 0-4: mirror at 0V, PbAperture= 100,200,400,600,300V 
runs 5-14: mirror at 1400, 
PbAperture= 600,700,800,900,1000,950,1100,400,200,100V",Data0010,0x45554555
1103,151,Possible production run; bare APDs in channels 6 & 7,,Other,possible production,3,142,2009-04-10 21:57:00-04,2009-04-11 16:34:00-04,JSN,47-113B,1400,On,-25000,no detectors 6 and 12 (replaced by bare APDs 3 and 4),"Bare-APDs, #: card-channel in Gage cards 
BAPD1: 1-7 
BAPD2: 2-7 
BAPD3: 1-6 
BAPD4: 2-7",Data0010,0x69556955
1104,152,source data with bare APDs and SBD,,Calibration,,3,144,2009-04-11 20:00:00-04,,JSN,47-113B,1400,Off,-25000,"no event data, only online analysis files","triggers are only SB and Bare-APDs, Cs and Na source; beam off",Data0010,
1107,153,,,Production,,3,145,2009-04-11 20:23:00-04,,JSN,47-113B,1400,On,-25000,,"Normal BGO channels 1-12; two bare APDs(#1 and #2) 
in empty channel (chs 7 in both boards)",Data0010,0x65556555
1105,154,,,Production,,3,146,2009-04-14 16:00:26-04,,JSN,47-113B,1400,On,-25000,,,Data0010,0x65556555
1108,155,,,Production,,3,147,2009-04-14 18:58:00-04,,JSN,47-113B,1400,On,-25000,,changed threshold of APDs,Data0010,0x65556555
1109,156,,,Production,,3,148,2009-04-15 10:00:00-04,,JSN,47-113B,1400,On,-25000,,noticed that East 1/v detector is dead,Data0010,0x65556555
1110,157,mirror HV tests,,Test,,3,148,2009-04-17 17:12:00-04,,JSN,47-113B,1400,On,-25000,,,Data0010,0x65556555
1111,158,bAPDs off; ramp mirror voltage,,Test,,3,149,2009-04-17 17:51:00-04,,JSN,47-113B,0,On,-25000,,,Data0010,0x65556555
1112,159,very short run,,Production,,3,150,2009-04-17 19:55:00-04,,JSN,47-113B,1400,On,-25000,,,Data0010,0x65556555
1113,160,,,Production,,3,150,2009-04-17 19:58:00-04,,JSN,47-113B,1400,On,-25000,,,Data0011,0x65556555
1119,161,,,Production,,3,151,2009-04-20 00:00:00-04,,JSN,47-113B,1400,On,-25000,,,Data0011,0x65556555
1114,162,,,Production,,3,151,2009-04-21 18:19:00-04,,JSN,47-113B,1400,On,-25000,,,Data0011,0x65556555
1115,163,,,Production,,3,152,2009-04-22 09:20:00-04,,JSN,47-113B,1400,On,-25000,Cs-137 and Co-60 sources under magnet,,Data0011,0x65556555
1117,164,removed sources; change a bAPD bias,,Production,,3,152,2009-04-22 12:20:00-04,,JSN,47-113B,1400,On,-25000,removed sources; change a bAPD bias,,Data0011,0x65556555
1116,165,take APD B3 for MCA tests; connect B1 to DAQ,,Production,,3,152,2009-04-22 00:00:00-04,,JSN,47-113B,1400,On,-25000,take APD B3 for MCA tests; connect B1 to DAQ,,Data0011,0x65556555
1118,166,swap around some of the bAPD inputs,,Production,,3,152,2009-04-23 08:30:00-04,,JSN,47-113B,1400,On,-25000,changed some bAPD inputs,,Data0011,0x65556555
1120,167,,,Production,,3,153,2009-04-27 13:20:00-04,2009-04-28 15:03:00-04,JSN,47-113B,0,On,-25000,HV trip for extended period,"HV was tripped/off between about midnight and 
about 7 am 04/28.",Data0011,0x65556555
1121,168,SB detector calibrations with sources,,Calibration,,3,154,2009-04-28 15:06:00-04,2009-04-28 16:14:00-04,HB,47-113B,0,Off,-25000,,,Data0011,0x65556555
1122,169,Mirror voltage scan,,Test,,3,155,2009-04-28 17:28:00-04,2009-04-28 22:00:00-04,HB,47-113B,999999,On,-25000,e-trigger; changing Mirror voltages; TAC in board1ch7,"removed B-APD-1 from board1, ch.7 and replaced by TAC signal 
restored original configuration after series. 
This series has only e- as trigger, not ep; restored after this series. 
run 0: mirror = 0V 
run 1: mirror = 60V 
run 2: mirror = 30V (interruption in reactor power, I think) 
run 3: mirror = 90V 
run 4: mirror = 120V 
run 5: mirror = 150V 
run 6: mirror = 30V",Data0011,0x65554555
1123,170,,,Production,,3,156,2009-04-28 22:00:00-04,2009-04-29 16:30:00-04,HB,47-113B,0,On,-25000,,"normal production again, 
just like series 167; 
note that SB detector might still be 
a bit warm at start of this series.",Data0011,0x65556555
1125,171,,,Production,,3,156,2009-04-29 16:30:00-04,,JSN,47-113B,0,On,-25000,,,Data0012,0x65556555
1126,172,,,Production,,3,159,2009-05-02 09:20:00-04,,JSN,47-113B,0,On,-25000,HV tripped during run and DAQ was on during a fill,,Data0012,0x65556555
1127,173,switch back to 1400V,,Production,,3,159,2009-05-04 12:20:00-04,2009-05-04 13:00:00-04,JSN,47-113B,1400,On,-25000,Nico deleted this series,only 10 minutes of coincidence data...,Data0012,0x65556555
1128,174,TAC spectra at different Mirror/Pb voltage,,Test,,3,160,2009-05-04 13:05:00-04,2009-05-04 19:30:00-04,HB,47-113B,999999,On,-25000,hardware trigger: e only,"TAC calibration data 
note: hardware trigger is e only (instead of ep) 
run mirror-HV Pb-aperture-HV 
0 --- 1400 ----- 0 
1 --- 1400 ---- 51.4 
2 ----- 0 ---- 51.4 
3 ---- 60 ---- 51.4 
4 garbage 
5 ---- 90 ---- 51.4 
6 --- 300 ---- 51.4 
7 --- 300 ----- 0 
8 --- 180 ----- 0",Data0012,0x65556555
1129,175,production 1400 V with TAC,,Production,,3,160,2009-05-04 19:30:00-04,,HB,47-113B,1400,On,-25000,TAC instead of B-APD1,"Gage card 1 channel 7 is TAC instead 
of bare-APD 1.",Data0012,0x65554555
1130,176,removed TAC signal and back to bare APD,,Production,,3,161,2009-05-05 15:40:00-04,2009-05-07 13:04:00-04,JSN,47-113B,1400,On,-25000,,Gage card 1 channel 7 is back to bare-APD 1 instead of TAC,Data0012,0x65556555
1132,177,Note: trigger is >= p and not the usual e-p,,Test,,3,162,2009-05-07 13:47:00-04,,JSN,47-113B,150,On,-25000,trigger >= proton signal and not the usual e-p trigger,,Data0012,0x65556555
1134,178,Trigger is back to the usual e-p,,Production,,3,162,2009-05-07 21:55:00-04,,JSN,47-113B,150,On,-25000,,normal e-p trigger,Data0012,0x65556555
1133,179,,,Production,,3,162,2009-05-08 13:35:00-04,,JSN,47-113B,300,On,-25000,,,Data0012,0x65556555
1135,180,,,Production,,3,163,2009-05-09 11:00:00-04,,JSN,47-113B,300,On,-25000,,,Data0012,0x65556555
1136,181,,,Production,,3,163,2009-05-11 10:30:00-04,,JSN,47-113B,300,On,-25000,,,Data0012,0x65556555
1137,182,trigger on proton energy and above,,Test,,3,163,2009-05-12 14:45:00-04,,JSN,47-113B,1400,On,-25000,APD voltages are all wrong!!,"Accidentally set all APD voltages to 1400 V instead of just 
one channel. This can happen if you do not click directly on 
the channel - as I found out. I think that all the electron 
spectra, however, should be OK.",Data0012,0x65556555
1138,183,back to normal trigger but APD voltages are still wrong,,Other,,3,163,2009-05-12 17:45:00-04,,JSN,47-113B,1400,On,-25000,APD voltages are all wrong - do not use!!,"Accidentally set all APD voltages to 1400 V instead of just 
one channel. This can happen if you do not click directly on 
the channel - as I found out. I think that all the electron 
spectra, however, should be OK.",Data0012,0x65556555
1139,184,test with proton and above trigger,,Test,,3,164,2009-05-13 08:25:00-04,,JSN,47-113B,1400,On,0,APD gains may still be drifting,"HV=0V; trigger is proton and above; 

just after putting APD voltages back to correct values - they may still be drifting",Data0013,0x65556555
1140,185,back to normal running,,Production,,3,165,2009-05-13 16:45:00-04,,JSN,47-113B,1400,On,-25000,APD gains may still be drifting,"put APD voltages back to correct values after snafu 
this morning - they may still be drifting",Data0013,0x65556555
1141,186,another proton-and-above trigger run,,Test,,3,165,2009-05-14 07:30:00-04,,JSN,47-113B,1400,On,-25000,trigger is on proton energy and above,,Data0013,0x65556555
1142,187,normal trigger,,Production,,3,165,2009-05-14 16:50:00-04,,JSN,47-113B,1400,On,-25000,,,Data0013,0x65556555
1143,188,SBD calibration; B=0,,Calibration,,3,165,2009-05-15 09:55:00-04,,JSN,47-113B,1400,On,0,B=0,magnet off,Data0013,
1144,189,trigger on proton and above; B=0,,Test,,3,166,2009-05-15 10:45:00-04,,JSN,47-113B,1400,On,-25000,B=0; trigger on proton and above,magnet off,Data0013,
1145,190,trigger on proton and above; B=0,,Test,,3,166,2009-05-15 00:00:00-04,,JSN,47-113B,1400,On,0,B=0; trigger on proton and above,magnet off,Data0013,
1147,191,normal trigger; B=0,,Test,,3,167,2009-05-16 00:00:00-04,,JSN,47-113B,1400,On,-25000,B=0,normal trigger; magnet off - Rx went down in middle of run,Data0013,
1146,191,normal trigger; B=0,,Test,,3,167,2009-05-16 00:00:00-04,,JSN,47-113B,1400,On,-25000,B=0,normal trigger; magnet off - Rx went down in middle of run,Data0013,
1148,192,,,Monitor,,3,167,2009-05-18 08:34:00-04,,JSN,47-113B,0,Off,0,,Rx down,Data0013,
1149,193,,,Monitor,,3,167,2009-05-18 11:54:00-04,,JSN,47-113B,0,Off,0,,Rx down,Data0013,
1150,194,,,Monitor,,3,172,2009-05-25 09:10:00-04,,JSN,47-113B,0,Off,0,,Rx down; haven't started cooling yet; just finish vacuum bake,Data0013,
1151,195,,,Monitor,,3,173,2009-05-25 14:45:00-04,,JSN,47-113B,0,Off,0,,Rx down; started cooling an hour or so ago,Data0013,
1152,196,test with low APD bias,,Test,,3,173,2009-05-26 11:30:00-04,,JSN,47-113B,0,Off,0,,Rx down;,Data0013,
1153,197,test with nominal APD bias,,Test,,3,174,2009-05-27 15:55:00-04,,JSN,47-113B,0,Off,0,,Rx down;,Data0013,
1154,198,SBD off; APDs on,,Other,,3,174,2009-05-28 11:52:00-04,,JSN,,0,On,0,,Rx up but having SBD problem,Data0013,
